road_id,status,roadmst_id,roadmst_name,directional_tendency,road_name_type,road_class,road_type,one_way_dir,high_address,low_address,address_range,odd_side,from_roadint_id,to_roadint_id,truck_route,snow_removal,from_roadint_name,to_roadint_name,OBJECTID,land_use,transit_class,implementation_class,SHAPESTLength
167775,A,104568,HEMMERLING CT,EW,CT,Local,ROAD,,1969,1900,1900 - 1969,R,626007,625613,,3,TUPMAN CR,TUPMAN CR,36018,Core Area,,,183.3764942
167864,A,110534,TOTOM AVE,NS,AVE,Local,PRIVATE,0,386,300,300 - 386,R,625637,999993,,3,TOTOM AVE,NORTH END OF ROAD,36419,External,,,227.0651274
167876,A,101182,BOTHE RD,EW,RD,Minor Arterial,ROAD,0,1550,1450,1450 - 1550,R,999990,625649,,3,WEST END OF ROAD,ST AMAND RD,36421,,,,235.0704547
167888,A,104063,GORDON DR,NS,DR,Major Arterial,ROAD,0,5300,5151,5151 - 5300,R,626452,625005,1,3,SOUTH PERIMETER WAY,PONDS AVE,37220,Rural,,City-led Project (Within 20 Years),428.3552971
167940,A,116501,REDTAIL CT,EW,CT,Local,ROAD,0,460,430,430 - 460,R,999990,625676,,3,WEST END OF ROAD,UPPER MISSION DR,37221,Hillside,,,149.9837129
167926,A,116487,TALON LANE,EW,LANE,Local,ROAD,0,500,440,440 - 500,R,625652,626122,,3,UPPER MISSION DR,HAWK HILL DR,37225,Hillside,,,263.6655767
167938,A,116499,HAWK HILL DR,EW,DR,Local,ROAD,0,454,400,400 - 454,R,625664,626134,,3,UPPER MISSION DR,HAWK'S PERCH LANE,37228,Hillside,,,229.8123766
167914,A,114809,UPPER MISSION DR,NS,DR,Collector,ROAD,0,5470,5455,5455 - 5470,R,625664,625652,,2,HAWK HILL DR,TALON LANE,37230,Hillside,,,86.01081052
167902,A,114809,UPPER MISSION DR,NS,DR,Collector,ROAD,0,5480,5471,5471 - 5480,R,625676,625664,,2,REDTAIL CT,HAWK HILL DR,37232,Hillside,,,58.78107047
167953,A,116513,UPPER CAMPUS WAY,EW,WAY,Minor Arterial,PRIVATE,0,3149,3000,3000 - 3149,R,625625,623644,,3,ACADEMY WAY,DISCOVERY AVE,38021,External,,,239.1188095
169805,A,116525,HILLTOWN DR,NS,DR,Minor Arterial,ROAD,,3890,3426,3426 - 3890,R,626348,625738,,2,HILLTOWN CLOSE,GLENMORE RD N,38024,Suburban,,,1517.587101
168029,A,116525,HILLTOWN DR,NS,DR,Minor Arterial,ROAD,0,3400,3396,3396 - 3400,R,625702,625688,,2,HILLTOP CR,MCKINLEY BEACH DR,38026,Core Area,,,102.3824992
169490,A,116537,HILLTOP CR,EW,CR,Local,ROAD,0,1840,1800,1800 - 1840,R,626247,625702,,3,LAVENDER LANE,HILLTOWN DR,38027,Hillside,,,115.5825418
168652,A,116525,HILLTOWN DR,NS,DR,Minor Arterial,ROAD,0,3320,3201,3201 - 3320,,625928,625714,,2,BLUE BUNCH CT,NORTHERN FLICKER CT,38028,Core Area,,,230.1801102
168017,A,116525,HILLTOWN DR,NS,DR,Minor Arterial,ROAD,0,3395,3376,3376 - 3395,R,625690,625702,,2,HILLTOP CR,HILLTOP CR,38029,Core Area,,,65.52910527
167977,A,116549,NORTHERN FLICKER CT,EW,CT,Local,ROAD,0,2000,1850,1850 - 2000,R,625714,999991,,3,HILLTOWN DR,EAST END OF ROAD,38031,Hillside,,,200.6651911
168005,A,116525,HILLTOWN DR,NS,DR,Minor Arterial,ROAD,0,3375,3321,3321 - 3375,R,625714,625690,,2,NORTHERN FLICKER CT,HILLTOP CR,38032,Core Area,,,109.7584918
169399,A,116552,PORCUPINE POINT CR,NS,CR,Local,ROAD,,1950,1853,1853 - 1950,R,626209,625726,,3,GREY OWL CT,HILLTOWN DR,38036,Hillside,,,194.0127471
168094,A,103996,GLENMORE RD N,NS,RD,Major Arterial (Multilane),ROAD,,4299,3900,3900 - 4299,R,625738,999988,1,1,HILLTOWN DR,CITY LIMIT,38037,Rural,,City-led Project (Within 20 Years),1206.012327
156428,A,100533,STEWART RD W,NS,RD,Major Arterial,ROAD,0,4770,4719,4719 - 4770,R,619317,620776,2,2,WESTRIDGE DR,LARKRIDGE CT,38423,Suburban,,City-led Project (Within 20 Years),325.2307306
152583,A,100533,STEWART RD W,EW,RD,Major Arterial,ROAD,0,4820,4771,4771 - 4820,R,626464,619317,,3,SOUTH PERIMETER WAY,WESTRIDGE DR,38424,Suburban,,City-led Project (Within 20 Years),242.3394465
152506,A,111664,CANYON VIEW CT,EW,CT,Local,ROAD,0,1732,1717,1717 - 1732,R,999990,619279,,3,WEST END OF ROAD,CANYON RIDGE CR,38822,Suburban,,,71.93416619
152532,A,111649,CANYON RIDGE CR,NS,CR,Local,ROAD,0,4893,4878,4878 - 4893,R,619255,619279,,3,WESTRIDGE DR,CANYON VIEW CT,38824,Suburban,,,125.6184473
158752,A,112793,SOUTH RIDGE DR,NS,DR,Collector,ROAD,0,4859,4800,4800 - 4859,R,621968,621537,,2,QUARRY AVE,BARNABY RD,38828,Hillside,,,200.7833556
163170,A,112793,SOUTH RIDGE DR,NS,DR,Collector,ROAD,0,4884,4860,4860 - 4884,R,623721,621968,,2,TUSCANY LANE,QUARRY AVE,38830,Hillside,,,527.7971823
138091,A,105763,LAKESHORE RD,EW,RD,Minor Arterial,ROAD,0,4879,4800,4800 - 4879,R,617933,617895,,1,AVERY RD,LAKESHORE PL,38833,Rural,,,765.2480578
115030,A,107615,OKAVIEW RD,EW,RD,Collector,ROAD,0,502,459,459 - 502,R,618428,618392,,2,LARK ST,CHUTE LAKE CR,38839,Suburban,,,691.5166348
169755,A,114215,MOUNTAINSIDE DR,NS,DR,Collector,ROAD,,5523,5520,5520 - 5523,R,622667,626312,,2,TRESTLE RIDGE DR,FOOTHILL CT,38841,Hillside,,,100.1512521
154500,A,112452,CHUTE LAKE CR,NS,CR,Local,ROAD,0,5199,5150,5150 - 5199,R,618354,618366,,2,STANLEY CR,SHEILA CR,38844,Suburban,,,198.6485776
102020,A,110344,TEASDALE RD,EW,RD,Collector,ROAD,0,1799,1780,1780 - 1799,R,611930,611928,,2,BELGO RD,HOLLYWOOD RD S,38853,Rural,,,316.997917
126161,A,100887,BELGO RD,NS,RD,Collector,ROAD,0,1864,1770,1770 - 1864,L,611930,611942,,3,TEASDALE RD,GEEN RD,38858,Rural,,,121.4403817
102083,A,103806,GEEN RD,NS,RD,Local,ROAD,0,1708,1225,1225 - 1708,L,611942,611967,,3,BELGO RD,TEASDALE RD,38859,Rural,,,914.6313618
102057,A,100887,BELGO RD,EW,RD,Collector,ROAD,0,1769,1492,1492 - 1769,L,611942,611955,,3,GEEN RD,WALBURN RD,38861,Rural,,,650.5531114
126146,A,104834,HOLLYWOOD RD S,NS,RD,Minor Arterial,ROAD,0,2014,1745,1745 - 2014,R,611892,612019,,2,EAST KELOWNA RD,PASADENA RD,38863,Suburban,,,385.9513744
